wavelength,throughput
3.000000e+02,0.000000e+00
3.010000e+02,0.000000e+00
3.020000e+02,0.000000e+00
3.030000e+02,0.000000e+00
3.040000e+02,0.000000e+00
3.050000e+02,0.000000e+00
3.060000e+02,0.000000e+00
3.070000e+02,0.000000e+00
3.080000e+02,0.000000e+00
3.090000e+02,0.000000e+00
3.100000e+02,3.948210e-01
3.110000e+02,4.246131e-01
3.120000e+02,4.395714e-01
3.130000e+02,4.287267e-01
3.140000e+02,4.056025e-01
3.150000e+02,3.821021e-01
3.160000e+02,3.740492e-01
3.170000e+02,3.885749e-01
3.180000e+02,4.134353e-01
3.190000e+02,4.476950e-01
3.200000e+02,4.761567e-01
3.210000e+02,4.872436e-01
3.220000e+02,4.578895e-01
3.230000e+02,4.003556e-01
3.240000e+02,3.402461e-01
3.250000e+02,3.353939e-01
3.260000e+02,3.882558e-01
3.270000e+02,4.714698e-01
3.280000e+02,5.122044e-01
3.290000e+02,4.958140e-01
3.300000e+02,4.546472e-01
3.310000e+02,4.464387e-01
3.320000e+02,4.846563e-01
3.330000e+02,5.449164e-01
3.340000e+02,5.903908e-01
3.350000e+02,6.109437e-01
3.360000e+02,6.083835e-01
3.370000e+02,6.066502e-01
3.380000e+02,6.096964e-01
3.390000e+02,6.144909e-01
3.400000e+02,6.244191e-01
3.410000e+02,6.289215e-01
3.420000e+02,6.353276e-01
3.430000e+02,6.423111e-01
3.440000e+02,6.477500e-01
3.450000e+02,6.526000e-01
3.460000e+02,6.557439e-01
3.470000e+02,6.592866e-01
3.480000e+02,6.637420e-01
3.490000e+02,6.677845e-01
3.500000e+02,6.704352e-01
3.510000e+02,6.693942e-01
3.520000e+02,6.694436e-01
3.530000e+02,6.695557e-01
3.540000e+02,6.679485e-01
3.550000e+02,6.620606e-01
3.560000e+02,6.540928e-01
3.570000e+02,6.513821e-01
3.580000e+02,6.608875e-01
3.590000e+02,6.748166e-01
3.600000e+02,6.880195e-01
3.610000e+02,6.901842e-01
3.620000e+02,6.966069e-01
3.630000e+02,7.025202e-01
3.640000e+02,7.091691e-01
3.650000e+02,7.121031e-01
3.660000e+02,7.156814e-01
3.670000e+02,7.199306e-01
3.680000e+02,7.257582e-01
3.690000e+02,7.307543e-01
3.700000e+02,7.365754e-01
3.710000e+02,7.396658e-01
3.720000e+02,7.482739e-01
3.730000e+02,7.507531e-01
3.740000e+02,7.531028e-01
3.750000e+02,7.576816e-01
3.760000e+02,7.615929e-01
3.770000e+02,7.628658e-01
3.780000e+02,7.662227e-01
3.790000e+02,7.676260e-01
3.800000e+02,7.665692e-01
3.810000e+02,7.674027e-01
3.820000e+02,7.694527e-01
3.830000e+02,7.706039e-01
3.840000e+02,7.700949e-01
3.850000e+02,7.691757e-01
3.860000e+02,7.684100e-01
3.870000e+02,7.687870e-01
3.880000e+02,7.686324e-01
3.890000e+02,7.684887e-01
3.900000e+02,7.665280e-01
3.910000e+02,7.618206e-01
3.920000e+02,7.586111e-01
3.930000e+02,7.512852e-01
3.940000e+02,7.484949e-01
3.950000e+02,7.446042e-01
3.960000e+02,7.374698e-01
3.970000e+02,7.332670e-01
3.980000e+02,7.285939e-01
3.990000e+02,7.253039e-01
4.000000e+02,7.222330e-01
4.010000e+02,7.214262e-01
4.020000e+02,7.198814e-01
4.030000e+02,7.194554e-01
4.040000e+02,7.183128e-01
4.050000e+02,7.179438e-01
4.060000e+02,7.157836e-01
4.070000e+02,7.140446e-01
4.080000e+02,7.131141e-01
4.090000e+02,7.103074e-01
4.100000e+02,7.097777e-01
4.110000e+02,7.088732e-01
4.120000e+02,7.071759e-01
4.130000e+02,7.058870e-01
4.140000e+02,7.047248e-01
4.150000e+02,7.043254e-01
4.160000e+02,7.020894e-01
4.170000e+02,6.975302e-01
4.180000e+02,6.944807e-01
4.190000e+02,6.906583e-01
4.200000e+02,6.864359e-01
4.210000e+02,6.800643e-01
4.220000e+02,6.760011e-01
4.230000e+02,6.714479e-01
4.240000e+02,6.667930e-01
4.250000e+02,6.626243e-01
4.260000e+02,6.578394e-01
4.270000e+02,6.530554e-01
4.280000e+02,6.478342e-01
4.290000e+02,6.413165e-01
4.300000e+02,6.333258e-01
4.310000e+02,6.234469e-01
4.320000e+02,6.184540e-01
4.330000e+02,6.170234e-01
4.340000e+02,6.164507e-01
4.350000e+02,6.184338e-01
4.360000e+02,6.167396e-01
4.370000e+02,6.157023e-01
4.380000e+02,6.131667e-01
4.390000e+02,6.098046e-01
4.400000e+02,6.063169e-01
4.410000e+02,6.034558e-01
4.420000e+02,6.014982e-01
4.430000e+02,5.988263e-01
4.440000e+02,5.952719e-01
4.450000e+02,5.931700e-01
4.460000e+02,5.878316e-01
4.470000e+02,5.841436e-01
4.480000e+02,5.807549e-01
4.490000e+02,5.784867e-01
4.500000e+02,5.757428e-01
4.510000e+02,5.716304e-01
